#序號 字 小韻序號 頁碼
177 蚣 16 109/110
178 翁 17 110
179 𩔚 17 110
180 蓊 17 110
181 螉 17 110
182 風 18 110/111
183 飌 18 111
184 楓 18 111
185 豐 18 111
186 酆 18 111
187 灃 18 111
188 蘴 18 111/112
189 麷 18 112
190 丰 18 112
191 夆 18 112
192 鋒 18 112
193 鏠 18 112
194 烽 18 112
195 逢 18 112
196 峯 18 112
197 蠭 18 112
198 蜂 18 112
199 𧒒 18 112/113
200 桻 18 113
201 封 18 113
202 葑 18 113
203 犎 18 113
204 崶 18 113
205 馮 19 113
206 渢 19 113
207 芃 19 113
208 汎 19 113
209 梵 19 113
210 逢 19 113
211 縫 19 113/114
212 摓 19 114
213 松 20 114
214 淞 20 114
215 凇 20 114
216 菘 20 114
217 崧 20 114
218 𪀚 20 114
219 𢤄 20 114
220 鬆 20 114
221 娀 20 114
222 嵩 20 114
223 充 21 114
224 㤝 21 114
225 珫 21 114
226 忡 21 114
227 沖 21 114/115
228 冲 21 115
229 种 21 115
230 翀 21 115
231 茺 21 115
232 衝 21 115
233 𧘂 21 115
234 罿 21 115
235 憧 21 115
236 䡴 21 115
237 艟 21 115
238 䂌 21 115
239 蹱 21 115
240 𨙦 21 115
241 傭 21 115
242 中 22 115
243 衷 22 115/116
244 忠 22 116
245 終 22 116
246 螽 22 116
247 衆 22 116
248 𩅧 22 116
249 鍾 22 116
250 鐘 22 116
251 忪 22 116
252 彸 22 116
253 橦 22 117
254 戎 23 117
255 茙 23 117
256 襛 23 117
257 駥 23 117
258 狨 23 117
259 𢫨 23 117
260 絨 23 117
261 茸 23 117
262 㲨 23 117
263 𥎂 23 117
264 鱅 23 117
265 慵 23 117
266 𥧱 23 117
267 崇 24 117
268 漴 24 117
269 蟲 25 117
270 爞 25 117
271 重 25 117
272 穜 25 117
273 種 25 117
274 蝩 25 118
275 盅 25 118
276 融 26 118
277 瀜 26 118
278 肜 26 118
279 烿 26 118
280 容 26 118
281 頌 26 118
282 溶 26 118
283 蓉 26 118/119
284 庸 26 119
285 墉 26 119
286 鎔 26 119
287 鄘 26 119
288 鏞 26 119
289 䡥 26 119
290 瑢 26 119
291 傭 26 119
292 𢧳 26 119
293 顒 27 119
294 喁 27 119/120
295 禺 27 120
296 弓 28 120
297 躬 28 120
298 躳 28 120
299 宮 28 120
300 恭 28 120
301 共 28 120/121
302 供 28 121
303 龔 28 121
304 穹 29 121
305 芎 29 121
306 鞠 29 121
307 銎 29 121
308 𥳎 29 121
309 窮 30 121
310 藭 30 121
311 蛩 30 121/122
312 邛 30 122
313 筇 30 122
314 𦭭 30 122
315 蛬 30 122
316 𦨰 30 122
317 䅃 30 122
318 農 31 122
319 儂 31 122
320 𩅽 31 122
321 濃 31 122
322 醲 31 122
323 穠 31 122
324 襛 31 122
325 舂 32 122/123/124
326 摏 32 124
327 憃 32 124
328 蹖 32 124
329 𩥫 32 124
330 𪄻 32 124
331 胷 33 124
332 匈 33 124
333 凶 33 124
334 洶 33 124
335 兇 33 124
336 訩 33 124
337 詾 33 124
338 跫 33 124
339 兄 33 124
340 邕 34 124/125
341 噰 34 125
342 雍 34 125
343 雝 34 125
344 灉 34 125
345 維 34 125
346 廱 34 125
347 饔 34 125
348 壅 34 125
349 癰 34 125
350 甕 34 125
351 罋 34 125
352 雄 35 125
353 熊 35 125/126
354 支 36 137
355 枝 36 137/138
356 肢 36 138
357 胑 36 138
358 巵 36 138
359 卮 36 138
360 梔 36 138
361 觝 36 138
362 觶 36 138
363 氏 36 138
364 榰 36 138
365 搘 36 138
366 禔 36 138
367 祇 36 138/139
368 祗 36 139
369 袛 36 139
370 袛 36 139
371 秖 36 139
372 秪 36 139
373 砥 36 139
374 厎 36 139
375 跂 36 139
376 鳷 36 139
377 胝 36 139
378 躓 36 139
379 脂 36 139
380 之 36 139
381 芝 36 139
382 葘 37 140
383 甾 37 140
384 緇 37 140
385 純 37 140
386 䊷 37 140
387 輺 37 140
388 鍿 37 140/141
389 椔 37 141
390 湽 37 141
391 鶅 37 141
392 施 38 141
393 䙾 38 141
394 葹 38 141
395 鍦 38 141
396 鉇 38 141
397 詩 38 141
398 邿 38 141
399 翅 38 141
400 尸 38 141/142
401 屍 38 142
402 鳲 38 142
403 蓍 38 142
404 㕧 38 142
405 釃 38 142
406 廝 38 142
407 籭 38 142
408 簁 38 142
409 蓰 38 142
410 襹 38 142
411 䌳 38 142
412 絁 38 142
413 師 38 142/143
414 篩 38 143
415 獅 38 143
416 螄 38 143
417 蒒 38 143
418 差 39 143
419 縒 39 143
420 嵯 39 143
421 䡨 39 143
422 時 40 143/144
423 旹 40 144
424 塒 40 144
425 蒔 40 144
426 漦 40 144
427 鰣 40 144
428 匙 40 144
429 𦑡 40 144
430 提 40 144
431 兒 41 144
432 唲 41 144
433 而 41 144
434 髵 41 144
435 耏 41 144/145
436 洏 41 145
437 胹 41 145
438 濡 41 145
439 聏 41 145
440 陑 41 145
441 栭 41 145
442 鴯 41 145
443 鮞 41 145
444 輀 41 145
445 斯 42 145/146
446 析 42 146
447 廝 42 146
448 厮 42 146
449 凘 42 146
450 澌 42 146
451 虒 42 146
452 𩆵 42 146
453 𪆁 42 146
454 禠 42 146
455 私 42 146
456 思 42 146
457 䰄 42 146
458 偲 42 146
459 颸 42 146
460 罳 42 146/147
461 緦 42 147
462 絲 42 147
463 司 42 147
464 伺 42 147
465 覗 42 147
466 鷥 42 147
467 雌 43 147
468 貲 44 147
469 訾 44 147
470 髭 44 147
471 觜 44 147
472 鄑 44 147/148
473 咨 44 148
474 資 44 148
475 齎 44 148
476 姿 44 148
477 姕 44 148
478 粢 44 148
479 齍 44 148
480 𪗋 44 148
481 齊 44 148
482 齋 44 148
483 澬 44 148
484 䆅 44 148
485 兹 44 148
486 孜 44 148
487 孳 44 148
488 仔 44 148
489 滋 44 148
490 嵫 44 149
491 鼒 44 149
492 鎡 44 149
493 耔 44 149
494 芓 44 149
495 趑 44 149
496 次 44 149
497 劑 44 149
498 疵 45 149
499 啙 45 149
500 訾 45 149
501 玼 45 149
502 茈 45 149
503 骴 45 149
504 慈 45 149
505 磁 45 149
506 鶿 45 149/150
507 兹 45 150
508 茨 45 150
509 薺 45 150
510 齊 45 150
511 餈 45 150
512 瓷 45 150
513 𩆂 45 150
514 知 46 150
515 䝷 46 150
516 蜘 46 150
517 摛 47 150
518 螭 47 150/151
519 彲 47 151
520 魑 47 151
521 离 47 151
522 縭 47 151
523 攡 47 151
524 黐 47 151
525 絺 47 151
526 瓻 47 151
527 鴟 47 151
528 胵 47 151
529 蚩 47 151/152
530 嗤 47 152
531 媸 47 152
532 妛 47 152
533 𥉍 47 152
534 眵 47 152
535 癡 47 152
536 笞 47 152
537 𪗪 47 152
538 馳 48 152
539 池 48 152
540 邸 48 152
541 篪 48 152/153
542 竾 48 153
543 褫 48 153
544 趍 48 153
545 謻 48 153
546 踟 48 153
547 墀 48 153
548 坻 48 153
549 泜 48 153
550 遲 48 153
551 謘 48 153
552 菭 48 153
553 治 48 153
554 耛 48 153
555 持 48 153
556 蚳 48 153
557 貾 48 153
558 紕 49 154
559 𧧺 49 154
560 𢱧 49 154
561 批 49 154
562 鈹 49 154
563 披 49 154
564 被 49 154
565 翍 49 154
566 㱟 49 154
567 旇 49 154
568 耚 49 154
569 𠜱 49 154
570 磇 49 154
571 錍 49 154
572 悲 50 154
573 陂 50 154
574 波 50 154
575 羆 50 154
576 藣 50 154
577 𥰘 50 154
578 詖 50 154
579 碑 50 154/155
580 卑 50 155
581 庳 50 155
582 裨 50 155
583 錍 50 155
584 椑 50 155
585 埤 50 155
586 箄 50 155
587 鞞 50 155
588 皮 51 155
589 疲 51 155/156
590 罷 51 156
591 郫 51 156
592 陴 51 156
593 埤 51 156
594 裨 51 156
595 脾 51 156
596 崥 51 156
597 辟 51 156
598 紕 51 156
599 𪌈 51 156
600 毗 51 156
601 比 51 156
602 㮰 51 156
603 膍 51 156/157
604 𦳈 51 157
605 𨈚 51 157
606 貔 51 157
607 魮 51 157
608 鈚 51 157
609 邳 51 157
610 岯 51 157
611 伾 51 157
612 鼙 51 157
613 鞞 51 157
614 椑 51 157
615 琵 51 157
616 蚍 51 157
617 枇 51 158
618 麋 52 158
619 麛 52 158
620 糜 52 158
621 𪎭 52 158
622 醾 52 158
623 縻 52 158
624 靡 52 158/159
625 劘 52 159
626 𪎕 52 159
627 蘼 52 159
628 𦗕 52 159
629 蘪 52 159
630 𢇲 52 159
631 夷 53 159
632 焉 53 159/160
633 尼 53 160
634 𡰱 53 160
635 𡰥 53 160
636 峓 53 160
637 夤 53 160
638 胰 53 160
639 寅 53 160
640 䧅 53 160
641 𢓡 53 160
642 跠 53 160
643 恞 53 160
644 洟 53 160
645 彝 53 160
646 姨 53 160
647 痍 53 160
648 侇 53 160
649 荑 53 160
650 桋 53 160
651 遺 53 161
652 宜 53 161
653 儀 53 161
654 義 53 161
655 轙 53 161
656 㕒 53 161
657 涯 53 161
658 崖 53 161
659 鸃 53 161
660 檥 53 161/162
661 議 53 162
662 疑 53 162
663 儗 53 162
664 嶷 53 162
665 觺 53 162
666 移 53 162
667 施 53 162
668 栘 53 162
669 匜 53 162
670 椸 53 162/163
671 扅 53 163
672 袲 53 163
673 酏 53 163
674 暆 53 163
675 蛇 53 163
676 佗 53 163
677 迤 53 163
678 陀 53 163
679 貤 53 163
680 鉹 53 163
681 𠗺 53 163
682 簃 53 163
683 䔟 53 163
684 沂 53 163
685 凒 53 163
686 飴 53 163
687 頤 53 163
688 宧 53 163
689 台 53 163/164
690 貽 53 164
691 詒 53 164
692 异 53 164
693 圯 53 164
694 瓵 53 164
695 怡 53 164
696 怠 53 164
697 眙 53 164
698 訑 53 164
699 奇 54 164
700 騎 54 164
701 錡 54 164
702 琦 54 164
703 碕 54 164
704 祇 54 164/165
705 示 54 165
706 祁 54 165
707 岐 54 165
708 𨙸 54 165
709 歧 54 165
710 跂 54 165
711 伎 54 165
712 蚑 54 165
713 軝 54 165
714 忯 54 165
715 疧 54 165
716 疷 54 165
717 祗 54 165
718 芪 54 165/166
719 其 54 166
720 期 54 166
721 棊 54 166
722 棋 54 166
723 旗 54 166
724 淇 54 166
725 琪 54 166
726 𤪌 54 166
727 璂 54 166
728 綦 54 166
729 鶀 54 166
730 蘄 54 166
731 祺 54 166
732 麒 54 166
733 騏 54 166/167
734 蜝 54 167
735 萁 54 167
736 耆 54 167
737 愭 54 167
738 鰭 54 167
739 鬐 54 167
740 祈 54 167
741 頎 54 167
742 旂 54 167
743 畿 54 167
744 圻 54 167
745 崎 54 167
746 埼 54 167
747 隑 54 167
748 肵 54 167
749 幾 54 167/168
750 俟 54 168
751 羲 55 168
752 犧 55 168
753 獻 55 168
754 戲 55 168
755 曦 55 168
756 𣟵 55 168
757 巇 55 168
758 僖 55 168
759 嬉 55 168
760 娭 55 168
761 嘻 55 168
762 熹 55 168
763 禧 55 168
764 釐 55 168/169
765 醯 55 169
766 䤈 55 169
767 熙 55 169
768 譆 55 169
769 希 55 169
770 稀 55 169
771 俙 55 169
772 睎 55 169
773 欷 55 169
774 唏 55 169
775 晞 55 169
776 鵗 55 169
777 豨 55 169
778 㕧 55 169
779 屎 55 169
780 伊 56 169
781 猗 56 169
782 欹 56 169/170
783 禕 56 170
784 椅 56 170
785 旖 56 170
786 漪 56 170
787 洢 56 170
788 咿 56 170
789 黟 56 170
790 衣 56 170
791 依 56 170
792 醫 56 170
793 噫 56 170
794 譩 56 170
795 意 56 170
796 懿 56 170
797 鷖 56 170
798 繄 56 170
799 翳 56 170
800 㙠 56 170
801 䃜 56 170
802 瑿 56 170
803 黳 56 171
804 詞 57 171
805 辭 57 171
806 辤 57 171
807 辞 57 171
808 祠 57 171
809 柌 57 171
810 微 58 171
811 薇 58 171
812 溦 58 171
813 惟 58 171
814 維 58 171/172
815 唯 58 172
816 濰 58 172
817 帷 58 172
818 肥 59 172
819 淝 59 172
820 腓 59 172
821 痱 59 172
822 厞 59 172
823 霏 60 172
824 菲 60 172
825 馡 60 172
826 妃 60 172
827 騑 60 172
828 匪 60 172
829 非 60 172
830 誹 60 172
831 扉 60 172
832 緋 60 172
833 裶 60 172
834 裴 60 172/173
835 餥 60 173
836 飛 60 173
837 蜚 60 173
838 騛 60 173
839 齊 61 182
840 臍 61 182
841 蠐 61 182
842 西 62 182
843 栖 62 182
844 棲 62 182
845 捿 62 182
846 嘶 62 182
847 犀 62 182/183
848 屖 62 183
849 遟 62 183
850 撕 62 183
851 凘 62 183
852 澌 62 183
853 妻 63 183
854 雌 63 183
855 萋 63 183
856 淒 63 183
857 凄 63 183
858 悽 63 183
859 霋 63 183
860 緀 63 183
861 齎 64 183
862 躋 64 183
863 隮 64 183
864 齊 64 183
865 懠 64 183
866 擠 64 183
867 齏 64 184
868 𩐒 64 184
869 氐 65 184
870 低 65 184
871 隄 65 184
872 堤 65 184
873 詆 65 184
874 柢 65 184
875 羝 65 184
876 磾 65 184
877 鞮 65 184
878 梯 66 184
879 鷈 66 184
880 鵜 66 184
881 鷉 66 184
882 睇 66 184
883 題 67 184/185
884 睼 67 185
885 啼 67 185
886 嗁 67 185
887 諦 67 185
888 謕 67 185
889 提 67 185
890 媞 67 185
891 偍 67 185
892 禔 67 185
893 褆 67 185
894 綈 67 185
895 鴺 67 185
896 緹 67 185
897 罤 67 185
898 蹄 67 185
899 蹏 67 185
900 㡗 67 185
901 鞮 67 185
902 䬾 67 185
903 䨑 67 185
904 桋 67 185/186
905 稊 67 186
906 苐 67 186
907 祶 67 186
908 荑 67 186
909 鵜 67 186
910 締 67 186
911 銻 67 186
912 𧋘 67 186
913 瑅 67 186
914 騠 67 186
915 鶗 67 186
916 鮧 67 186
917 踶 67 186
918 折 67 186
919 泥 68 186
920 臡 68 186
921 尼 68 186
922 怩 68 186
923 呢 68 186
924 秜 68 186
925 跜 68 186
926 旎 68 186
927 倪 69 186/187
928 兒 69 187
929 齯 69 187
930 䘽 69 187
931 蜺 69 187
932 霓 69 187
933 輗 69 187
934 鯢 69 187
935 麑 69 187/188
936 離 70 188
937 离 70 189
938 蠡 70 189
939 劙 70 189
940 黎 70 189
941 犂 70 189
942 犁 70 189
943 瓈 70 189
944 𨛫 70 189
945 黧 70 189
946 藜 70 189
947 蔾 70 189
948 梨 70 189
949 棃 70 189/190
950 邌 70 190
951 驪 70 190
952 鸝 70 190
953 盠 70 190
954 麗 70 190
955 䕻 70 190
956 褵 70 190
957 縭 70 190
958 纚 70 190
959 㒿 70 190
960 攡 70 190
961 罹 70 190
962 蘺 70 190/191
963 籬 70 191
964 㰚 70 191
965 醨 70 191
966 漓 70 191
967 璃 70 191
968 灕 70 191
969 孋 70 191
970 穲 70 191
971 矖 70 191
972 來 70 191/192
973 䅘 70 192
974 釐 70 192
975 氂 70 192
976 嫠 70 192
977 犛 70 192
978 斄 70 192
979 𩭇 70 192
980 梩 70 192
981 貍 70 192
982 霾 70 192
983 雞 71 192/193
984 稽 71 193
985 乩 71 193
986 枅 71 193
987 筓 71 193
988 羈 71 193
989 䩭 71 193
990 羇 71 193/194
991 奇 71 194
992 觭 71 194
993 畸 71 194
994 踦 71 194
995 倚 71 194
996 𢽽 71 194
997 剞 71 194
998 掎 71 194
999 饑 71 194
1000 肌 71 194
1001 𩨒 71 194
1002 機 71 194
1003 鐖 71 194
1004 刏 71 194
1005 禨 71 194
1006 幾 71 194/195
1007 譏 71 195
1008 磯 71 195
1009 鞿 71 195
1010 耭 71 195
1011 璣 71 195
1012 蟣 71 195
1013 嘰 71 195
1014 姬 71 195
1015 朞 71 195
1016 期 71 195
1017 祺 71 195
1018 基 71 195
1019 棋 71 195
1020 箕 71 195
1021 旗 71 195
1022 其 71 195/196
1023 居 71 196
1024 萁 71 196
1025 錤 71 196
1026 踑 71 196
1027 諆 71 196
1028 谿 72 196
1029 溪 72 196
1030 磎 72 196
1031 鸂 72 196
1032 敧 72 196
1033 𢼨 72 196
1034 觭 72 196
1035 䗁 72 196
1036 徛 72 196
1037 碕 72 196
1038 崎 72 196
1039 欺 72 196
1040 魌 72 197
1041 倛 72 197
1042 僛 72 197
1043 娸 72 197
1044 兮 73 197
1045 奚 73 197
1046 㜎 73 197
1047 傒 73 197
1048 蹊 73 197
1049 徯 73 197
1050 騱 73 197
1051 鼷 73 197
1052 豀 73 197
1053 貕 73 197
1054 謑 73 197
1055 嵆 73 197
1056 攜 73 197/198
1057 巂 73 198
1058 觿 73 198
1059 畦 73 198
1060 眭 73 198
1061 酅 73 198
1062 蠵 73 198
1063 迷 74 198
1064 麛 74 198
1065 麑 74 198
1066 㜷 74 198
1067 彌 74 198
1068 冞 74 198
1069 䍘 74 198
1070 瀰 74 198
1071 弥 74 198
1072 篦 75 198
1073 𨻼 75 198
1074 鎞 75 198
1075 烓 76 198
1076 魚 77 202
1077 䁩 77 202
1078 𩥭 77 202
1079 䐳 77 202
1080 漁 77 202
1081 䱷 77 202
1082 衙 77 202/203
1083 齬 77 203
1084 虞 77 203
1085 鸆 77 203
1086 麌 77 203
1087 禺 77 203
1088 愚 77 203
1089 娛 77 203
1090 澞 77 203
1091 嵎 77 203
1092 隅 77 203
1093 髃 77 203
1094 齵 77 203
1095 寓 77 203
1096 喁 77 203
1097 于 78 203/204
1098 盂 78 204
1099 釪 78 204
1100 竽 78 204
1101 𩁹 78 204
1102 雩 78 204
1103 玗 78 204
1104 杅 78 204
1105 邘 78 204
1106 余 78 204
1107 予 78 204
1108 歟 78 204
1109 與 78 204/205
1110 譽 78 205
1111 妤 78 205
1112 輿 78 205
1113 𨏮 78 205
1114 舁 78 205
1115 旟 78 205
1116 餘 78 205
1117 畬 78 205
1118 璵 78 206
1119 雓 78 206
1120 蜍 78 206
1121 鸒 78 206
1122 𪇬 78 206
1123 邪 78 206
1124 兪 78 206
1125 逾 78 206
1126 踰 78 206
1127 渝 78 206
1128 隃 78 206
1129 愉 78 206
1130 愈 78 206
1131 㥚 78 206
1132 覦 78 206
1133 𨵦 78 206
1134 窬 78 206
1135 牏 78 206
1136 瑜 78 206
1137 楡 78 206
1138 婾 78 207
1139 楰 78 207
1140 萸 78 207
1141 臾 78 207
1142 腴 78 207
1143 瘉 78 207
1144 揄 78 207
1145 歈 78 207
1146 𢋅 78 207
1147 諛 78 207
1148 𥛩 78 207
1149 羭 78 207/208
1150 蝓 78 208
1151 𦩞 78 208
1152 㼶 78 208
1153 喩 78 208
1154 於 79 208
1155 淤 79 208
1156 紆 79 208
1157 陓 79 208
1158 盓 79 208
1159 迂 79 208
1160 虛 80 208
1161 驉 80 208
1162 歔 80 208
1163 噓 80 208
1164 呴 80 208
1165 喣 80 208
1166 訏 80 208
1167 吁 80 208
1168 于 80 208
1169 盱 80 208
1170 冔 80 208
1171 芋 80 208
1172 𢖳 80 208
1173 旴 80 209
1174 嘔 80 209
1175 區 81 209
1176 㠊 81 209
1177 袪 81 209
1178 阹 81 209
1179 胠 81 209
1180 祛 81 209
1181 佉 81 209
1182 𢿛 81 209
1183 呿 81 209
1184 去 81 209
1185 驅 81 209
1186 墟 81 209
1187 虛 81 209
1188 軀 81 209
1189 摳 81 209/210
1190 居 82 210
1191 凥 82 210
1192 𡨢 82 210
1193 据 82 210
1194 裾 82 210
1195 椐 82 210
1196 琚 82 210
1197 車 82 210
1198 鶋 82 210
1199 拘 82 210/211
1200 軥 82 211
1201 捄 82 211
1202 㪺 82 211
1203 仇 82 211
1204 跔 82 211
1205 俱 82 211
1206 駒 82 211
1207 痀 82 211
1208 渠 83 211
1209 𪆂 83 211
1210 腒 83 211
1211 蕖 83 211
1212 蚷 83 211/212
1213 籧 83 212
1214 蘧 83 212
1215 遽 83 212
1216 鐻 83 212
1217 磲 83 212
1218 醵 83 212
1219 璩 83 212
1220 劬 83 212
1221 癯 83 212
1222 臞 83 212
1223 胊 83 212
1224 鸜 83 212
1225 句 83 212
1226 絇 83 212
1227 拘 83 212
1228 衢 83 212
1229 瞿 83 212
1230 戵 83 212
1231 軥 83 212/213
1232 鼩 83 213
1233 胥 84 213
1234 諝 84 213
1235 蝑 84 213
1236 糈 84 213
1237 稰 84 213
1238 湑 84 213
1239 須 84 213
1240 鬚 84 213/214
1241 需 84 214
1242 𪋯 84 214
1243 繻 84 214
1244 嬃 84 214
1245 疽 85 214
1246 雎 85 214
1247 狙 85 214
1248 趄 85 214
1249 且 85 214
1250 苴 85 214/215
1251 沮 85 215
1252 砠 85 215
1253 岨 85 215
1254 蒩 85 215
1255 蛆 85 215
1256 菹 85 215
1257 諏 85 215
1258 娵 85 215
1259 掫 85 215
1260 徐 86 215
1261 邪 86 215
1262 書 87 215/216
1263 舒 87 216
1264 紓 87 216
1265 瑹 87 216
1266 荼 87 216
1267 𪅰 87 216
1268 輸 87 216
1269 隃 87 216
1270 鄃 87 216
1271 毹 87 216/217
1272 毺 87 217
1273 㡏 87 217
1274 諸 88 217
1275 䃴 88 217
1276 蠩 88 217
1277 豬 88 217
1278 櫫 88 217
1279 渚 88 217
1280 朱 88 217
1281 珠 88 217
1282 株 88 217/218
1283 邾 88 218
1284 誅 88 218
1285 列 88 218
1286 禂 88 218
1287 蛛 88 218
1288 跦 88 218
1289 袾 88 218
1290 祩 88 218
1291 咮 88 218
1292 侏 88 218
1293 除 89 218
1294 蜍 89 218
1295 蠩 89 218
1296 宁 89 219
1297 著 89 219
1298 儲 89 219
1299 躇 89 219
1300 篨 89 219
1301 屠 89 219
1302 滁 89 219
1303 廚 89 219
1304 躕 89 219
1305 裯 89 219
1306 幬 89 219
1307 殊 90 219
1308 銖 90 219
1309 殳 90 220
1310 杸 90 220
1311 洙 90 220
1312 㼡 90 220
1313 如 91 220
1314 茹 91 220
1315 洳 91 220
1316 鴽 91 220
1317 儒 91 220
1318 濡 91 220
1319 襦 91 220
1320 懦 91 220
1321 嚅 91 220
1322 臑 91 220
1323 醹 91 220
1324 帤 92 220
1325 拏 92 220
1326 挐 92 220
1327 樞 93 220/221
1328 㻬 93 221
1329 姝 93 221
1330 摴 93 221
1331 攄 93 221
1332 樗 93 221
1333 貙 93 221
1334 閭 94 221
1335 臚 94 221
1336 盧 94 222
1337 廬 94 222
1338 櫚 94 222
1339 藘 94 222
1340 慮 94 222
1341 蘆 94 222
1342 驢 94 222
1343 慺 94 222
1344 膢 94 222
1345 婁 94 222
1346 鏤 94 222
1347 蔞 94 222
1348 漊 94 222
1349 瘻 94 222
1350 氀 94 222
1351 趨 95 222/223
1352 騶 95 223
1353 取 95 223
1354 模 96 227
1355 橅 96 227
1356 摹 96 227
1357 摸 96 227
1358 謨 96 227
1359 膜 96 227
1360 母 96 227
1361 墓 96 227/228
1362 鋪 97 228
1363 痡 97 228
1364 𨁏 97 228
1365 𥠵 97 228
1366 鯆 97 228
1367 誧 97 228
1368 逋 98 228
1369 晡 98 228
1370 餔 98 228
1371 租 99 228
1372 蒩 99 228
1373 苴 99 228
1374 徂 100 228
1375 且 100 228
1376 殂 100 228
1377 鉏 100 228
1378 耡 100 228
1379 鶵 100 228
1380 雛 100 228
1381 䅳 100 228
1382 媰 100 228
1383 蒲 101 228/229
1384 酺 101 229
1385 蒱 101 229
1386 莆 101 229
1387 匍 101 229
1388 苻 101 229
1389 瓿 101 229
1390 䒀 101 229
1391 都 102 229
1392 闍 102 229
1393 徒 103 229/230
1394 途 103 230
1395 涂 103 230
1396 塗 103 230
1397 峹 103 230
1398 鍍 103 230
1399 荼 103 230
1400 稌 103 230
1401 圖 103 230
1402 屠 103 230
1403 𤺈 103 230
1404 駼 103 230/231
1405 菟 103 231
1406 檡 103 231
1407 捈 103 231
1408 稌 103 231
1409 盧 104 231
1410 罏 104 231
1411 鑪 104 231/232
1412 爐 104 232
1413 壚 104 232
1414 玈 104 232
1415 黸 104 232
1416 矑 104 232
1417 櫨 104 232
1418 獹 104 232
1419 纑 104 232
1420 瓐 104 232
1421 艫 104 232/233
1422 𤬛 104 233
1423 轤 104 233
1424 鱸 104 233
1425 籚 104 233
1426 廬 104 233
1427 瀘 104 233
1428 蘆 104 233
1429 顱 104 233
1430 奴 105 233/234
1431 孥 105 234
1432 帑 105 234
1433 駑 105 234
1434 笯 105 234
1435 胡 106 234/235
1436 乎 106 235
1437 壺 106 235
1438 瓠 106 235
1439 瑚 106 235
1440 餬 106 235
1441 醐 106 235/236
1442 弧 106 236
1443 箶 106 236
1444 湖 106 236
1445 狐 106 236
1446 𧲲 106 236
1447 鶘 106 236
